Class,CBO,DIT,LCOM,WMC
org.apache.fontbox.afm.AFMParser,12,0,1,99
org.apache.fontbox.afm.CharMetric,6,0,14,29
org.apache.fontbox.afm.Composite,3,0,2,5
org.apache.fontbox.afm.CompositePart,2,0,3,6
org.apache.fontbox.afm.FontMetrics,13,0,35,88
org.apache.fontbox.afm.KernPair,2,0,4,8
org.apache.fontbox.afm.Ligature,2,0,2,4
org.apache.fontbox.afm.TrackKern,2,0,5,10
org.apache.fontbox.cff.CFFCIDFont,12,1,6,29
org.apache.fontbox.cff.CFFCIDFont.PrivateType1CharStringReader,3,0,1,1
org.apache.fontbox.cff.CFFCharset,12,0,1,23
org.apache.fontbox.cff.CFFDataInput,2,1,5,8
org.apache.fontbox.cff.CFFEncoding,7,1,2,3
org.apache.fontbox.cff.CFFExpertCharset,2,1,1,3
org.apache.fontbox.cff.CFFExpertEncoding,2,2,1,3
org.apache.fontbox.cff.CFFExpertSubsetCharset,2,1,1,3
org.apache.fontbox.cff.CFFFont,16,0,8,15
org.apache.fontbox.cff.CFFISOAdobeCharset,2,1,1,3
org.apache.fontbox.cff.CFFOperator,4,0,3,12
org.apache.fontbox.cff.CFFOperator.Key,2,0,1,9
org.apache.fontbox.cff.CFFParser,38,0,1,138
org.apache.fontbox.cff.CFFParser.CFFBuiltInEncoding,5,2,0,0
org.apache.fontbox.cff.CFFParser.CFFBuiltInEncoding.Supplement,2,0,3,4
org.apache.fontbox.cff.CFFParser.DictData,3,0,1,12
org.apache.fontbox.cff.CFFParser.DictData.Entry,3,0,1,13
org.apache.fontbox.cff.CFFParser.EmbeddedCharset,5,1,0,1
org.apache.fontbox.cff.CFFParser.EmptyCharset,3,2,0,3
org.apache.fontbox.cff.CFFParser.Format0Charset,2,2,0,2
org.apache.fontbox.cff.CFFParser.Format0Encoding,2,3,0,1
org.apache.fontbox.cff.CFFParser.Format0FDSelect,4,1,1,4
org.apache.fontbox.cff.CFFParser.Format1Charset,4,2,1,10
org.apache.fontbox.cff.CFFParser.Format1Encoding,2,3,0,1
org.apache.fontbox.cff.CFFParser.Format2Charset,4,2,1,8
org.apache.fontbox.cff.CFFParser.Format3FDSelect,4,1,1,8
org.apache.fontbox.cff.CFFParser.Header,1,0,0,1
org.apache.fontbox.cff.CFFParser.Range3,2,0,0,1
org.apache.fontbox.cff.CFFParser.RangeMapping,3,0,1,8
org.apache.fontbox.cff.CFFStandardEncoding,2,2,1,3
org.apache.fontbox.cff.CFFStandardString,2,0,1,2
org.apache.fontbox.cff.CFFType1Font,13,1,2,23
org.apache.fontbox.cff.CFFType1Font.PrivateType1CharStringReader,3,0,1,1
org.apache.fontbox.cff.CIDKeyedType2CharString,3,2,1,2
org.apache.fontbox.cff.CharStringCommand,6,0,1,11
org.apache.fontbox.cff.CharStringCommand.Key,4,0,1,12
org.apache.fontbox.cff.CharStringHandler,3,0,1,4
org.apache.fontbox.cff.DataInput,6,0,1,21
org.apache.fontbox.cff.DataOutput,1,0,1,9
org.apache.fontbox.cff.FDSelect,4,0,1,1
org.apache.fontbox.cff.Type1CharString,15,0,1,66
org.apache.fontbox.cff.Type1CharStringParser,4,0,1,29
org.apache.fontbox.cff.Type1FontUtil,2,0,3,15
org.apache.fontbox.cff.Type2CharString,9,1,3,75
org.apache.fontbox.cff.Type2CharStringParser,6,0,1,37
org.apache.fontbox.cmap.CIDRange,1,0,1,7
org.apache.fontbox.cmap.CMap,12,0,7,46
org.apache.fontbox.cmap.CMapParser,9,0,2,122
org.apache.fontbox.cmap.CMapParser.LiteralName,1,0,0,1
org.apache.fontbox.cmap.CMapParser.Operator,1,0,0,1
org.apache.fontbox.cmap.CodespaceRange,4,0,1,17
org.apache.fontbox.encoding.BuiltInEncoding,4,1,0,2
org.apache.fontbox.encoding.Encoding,8,0,1,5
org.apache.fontbox.encoding.MacRomanEncoding,1,1,0,2
org.apache.fontbox.encoding.StandardEncoding,3,1,0,2
org.apache.fontbox.pfb.PfbParser,3,0,2,21
org.apache.fontbox.ttf.BufferedRandomAccessFile,2,0,1,16
org.apache.fontbox.ttf.CFFTable,12,1,1,3
org.apache.fontbox.ttf.CFFTable.CFFBytesource,3,0,1,2
org.apache.fontbox.ttf.CmapSubtable,12,0,1,88
org.apache.fontbox.ttf.CmapSubtable.SubHeader,1,0,4,5
org.apache.fontbox.ttf.CmapTable,10,1,1,9
org.apache.fontbox.ttf.DigitalSignatureTable,3,1,0,1
org.apache.fontbox.ttf.GlyfCompositeComp,2,0,10,22
org.apache.fontbox.ttf.GlyfCompositeDescript,6,1,2,36
org.apache.fontbox.ttf.GlyfDescript,6,0,3,5
org.apache.fontbox.ttf.GlyfSimpleDescript,4,1,4,24
org.apache.fontbox.ttf.GlyphData,12,0,1,13
org.apache.fontbox.ttf.GlyphRenderer,5,0,1,23
org.apache.fontbox.ttf.GlyphRenderer.Point,1,0,0,5
org.apache.fontbox.ttf.GlyphSubstitutionTable,21,1,1,81
org.apache.fontbox.ttf.GlyphSubstitutionTable.CoverageTable,4,0,1,0
org.apache.fontbox.ttf.GlyphSubstitutionTable.CoverageTableFormat1,2,1,1,2
org.apache.fontbox.ttf.GlyphSubstitutionTable.CoverageTableFormat2,3,1,1,4
org.apache.fontbox.ttf.GlyphSubstitutionTable.FeatureRecord,2,0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.FeatureTable,3,0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.LangSysRecord,2,0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.LangSysTable,3,0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupSubTable,5,0,1,0
org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupTable,2,0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupTypeSingleSubstFormat1,2,1,1,3
org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupTypeSingleSubstFormat2,2,1,1,3
org.apache.fontbox.ttf.GlyphSubstitutionTable.RangeRecord,2,0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.ScriptRecord,2,0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.ScriptTable,3,0,0,1
org.apache.fontbox.ttf.GlyphTable,15,1,1,19
org.apache.fontbox.ttf.HeaderTable,13,1,1,36
org.apache.fontbox.ttf.HorizontalHeaderTable,8,1,1,36
org.apache.fontbox.ttf.HorizontalMetricsTable,11,1,1,14
org.apache.fontbox.ttf.IndexToLocationTable,7,1,1,8
org.apache.fontbox.ttf.KerningSubtable,5,0,1,29
org.apache.fontbox.ttf.KerningSubtable.PairData0Format0,4,0,2,9
org.apache.fontbox.ttf.KerningTable,5,1,1,12
org.apache.fontbox.ttf.MaximumProfileTable,7,1,1,32
org.apache.fontbox.ttf.MemoryTTFDataStream,5,1,2,19
org.apache.fontbox.ttf.NameRecord,5,0,2,16
org.apache.fontbox.ttf.NamingTable,8,1,1,30
