Class,CBO,DIT,LCOM,WMC
org.apache.fontbox.afm.AFMParser-2.0.30,12,0.0,1,99
org.apache.fontbox.afm.AFMParserTest-2.0.30,2,0.0,1,1
org.apache.fontbox.afm.CharMetric-2.0.30,6,0.0,14,29
org.apache.fontbox.afm.Composite-2.0.30,3,0.0,2,5
org.apache.fontbox.afm.CompositePart-2.0.30,2,0.0,3,6
org.apache.fontbox.afm.FontMetrics-2.0.30,13,0.0,35,88
org.apache.fontbox.afm.KernPair-2.0.30,2,0.0,4,8
org.apache.fontbox.afm.Ligature-2.0.30,2,0.0,2,4
org.apache.fontbox.afm.TrackKern-2.0.30,2,0.0,5,10
org.apache.fontbox.cff.CFFCIDFont-2.0.30,12,1.0,6,29
org.apache.fontbox.cff.CFFCIDFont.PrivateType1CharStringReader-2.0.30,3,0.0,1,1
org.apache.fontbox.cff.CFFCharset-2.0.30,12,0.0,1,23
org.apache.fontbox.cff.CFFDataInput-2.0.30,2,1.0,5,8
org.apache.fontbox.cff.CFFEncoding-2.0.30,7,1.0,2,3
org.apache.fontbox.cff.CFFExpertCharset-2.0.30,2,1.0,1,3
org.apache.fontbox.cff.CFFExpertEncoding-2.0.30,2,2.0,1,3
org.apache.fontbox.cff.CFFExpertSubsetCharset-2.0.30,2,1.0,1,3
org.apache.fontbox.cff.CFFFont-2.0.30,16,0.0,8,15
org.apache.fontbox.cff.CFFISOAdobeCharset-2.0.30,2,1.0,1,3
org.apache.fontbox.cff.CFFOperator-2.0.30,4,0.0,3,12
org.apache.fontbox.cff.CFFOperator.Key-2.0.30,2,0.0,1,9
org.apache.fontbox.cff.CFFParser-2.0.30,38,0.0,1,138
org.apache.fontbox.cff.CFFParser.CFFBuiltInEncoding-2.0.30,5,2.0,0,0
org.apache.fontbox.cff.CFFParser.CFFBuiltInEncoding.Supplement-2.0.30,2,0.0,3,4
org.apache.fontbox.cff.CFFParser.DictData-2.0.30,3,0.0,1,12
org.apache.fontbox.cff.CFFParser.DictData.Entry-2.0.30,3,0.0,1,13
org.apache.fontbox.cff.CFFParser.EmbeddedCharset-2.0.30,5,1.0,0,1
org.apache.fontbox.cff.CFFParser.EmptyCharset-2.0.30,3,2.0,0,3
org.apache.fontbox.cff.CFFParser.Format0Charset-2.0.30,2,2.0,0,2
org.apache.fontbox.cff.CFFParser.Format0Encoding-2.0.30,2,3.0,0,1
org.apache.fontbox.cff.CFFParser.Format0FDSelect-2.0.30,4,1.0,1,4
org.apache.fontbox.cff.CFFParser.Format1Charset-2.0.30,4,2.0,1,10
org.apache.fontbox.cff.CFFParser.Format1Encoding-2.0.30,2,3.0,0,1
org.apache.fontbox.cff.CFFParser.Format2Charset-2.0.30,4,2.0,1,8
org.apache.fontbox.cff.CFFParser.Format3FDSelect-2.0.30,4,1.0,1,8
org.apache.fontbox.cff.CFFParser.Header-2.0.30,1,0.0,0,1
org.apache.fontbox.cff.CFFParser.Range3-2.0.30,2,0.0,0,1
org.apache.fontbox.cff.CFFParser.RangeMapping-2.0.30,3,0.0,1,8
org.apache.fontbox.cff.CFFParserTest-2.0.30,4,0.0,1,5
org.apache.fontbox.cff.CFFStandardEncoding-2.0.30,2,2.0,1,3
org.apache.fontbox.cff.CFFStandardString-2.0.30,2,0.0,1,2
org.apache.fontbox.cff.CFFType1Font-2.0.30,13,1.0,2,23
org.apache.fontbox.cff.CFFType1Font.PrivateType1CharStringReader-2.0.30,3,0.0,1,1
org.apache.fontbox.cff.CIDKeyedType2CharString-2.0.30,3,2.0,1,2
org.apache.fontbox.cff.CharStringCommand-2.0.30,6,0.0,1,11
org.apache.fontbox.cff.CharStringCommand.Key-2.0.30,4,0.0,1,12
org.apache.fontbox.cff.CharStringHandler-2.0.30,3,0.0,1,4
org.apache.fontbox.cff.DataInput-2.0.30,6,0.0,1,21
